table_name,field_name,language,translation,field_value
stops,stop_name,fr,Chemin de Fer,CHEMIN DE FER
stops,stop_name,nl,Spoorweg,CHEMIN DE FER
stops,stop_name,fr,Chemin Vert,CHEMIN VERT
stops,stop_name,nl,Groenweg,CHEMIN VERT
stops,stop_name,fr,Chênaie,CHENAIE
stops,stop_name,nl,Eikenbos,CHENAIE
stops,stop_name,fr,Chevalerie,CHEVALERIE
stops,stop_name,nl,Ridderschap,CHEVALERIE
stops,stop_name,fr,Chien Vert,CHIEN VERT
stops,stop_name,nl,Groene Hond,CHIEN VERT
stops,stop_name,fr,CHIREC,CHIREC
stops,stop_name,nl,CHIREC,CHIREC
stops,stop_name,fr,Chopin,CHOPIN
stops,stop_name,nl,Chopin,CHOPIN
stops,stop_name,fr,Churchill,CHURCHILL
stops,stop_name,nl,Churchill,CHURCHILL
stops,stop_name,fr,Cicéron,CICERON
stops,stop_name,nl,Cicero,CICERON
stops,stop_name,fr,Cimetière d'Ixelles,CIM. D'IXELLES
stops,stop_name,nl,Begraafplaats van Elsene,CIM. D'IXELLES
stops,stop_name,fr,Cimetière de Bruxelles,CIM. DE BRUXELLES
stops,stop_name,nl,Begraafplaats van Brussel,CIM. DE BRUXELLES
stops,stop_name,fr,Cimetière de Jette,CIM. DE JETTE
stops,stop_name,nl,Kerkhof van Jette,CIM. DE JETTE
stops,stop_name,fr,Cimetière de Molenbeek,CIM. DE MOLENBEEK
stops,stop_name,nl,Begraafplaats van Molenbeek,CIM. DE MOLENBEEK
stops,stop_name,fr,Cimetières,CIMETIERES
stops,stop_name,nl,Begraafplaatsen,CIMETIERES
stops,stop_name,fr,Clays,CLAYS
stops,stop_name,nl,Clays,CLAYS
stops,stop_name,fr,Clémence Everard,CLEMENCE EVERARD
stops,stop_name,nl,Clémence Everard,CLEMENCE EVERARD
stops,stop_name,fr,Clemenceau,CLEMENCEAU
stops,stop_name,nl,Clemenceau,CLEMENCEAU
stops,stop_name,fr,Clesse,CLESSE
stops,stop_name,nl,Clesse,CLESSE
stops,stop_name,fr,Cliniques-UCL,CLINIQUES-UCL
stops,stop_name,nl,Cliniques-UCL,CLINIQUES-UCL
stops,stop_name,fr,Clovis,CLOVIS
stops,stop_name,nl,Clovis,CLOVIS
stops,stop_name,fr,Coghen,COGHEN
stops,stop_name,nl,Coghen,COGHEN
stops,stop_name,fr,Colignon,COLIGNON
stops,stop_name,nl,Colignon,COLIGNON
stops,stop_name,fr,Collège Sacré-Cœur,COLLEGE S.-COEUR
stops,stop_name,nl,Heilig Hartcollege,COLLEGE S.-COEUR
stops,stop_name,fr,Collège Saint-Pierre,COLLEGE ST-PIERRE
stops,stop_name,nl,Sint-Pieterscollege,COLLEGE ST-PIERRE
stops,stop_name,fr,Colombophiles,COLOMBOPHILES
stops,stop_name,nl,Duivenmelkers,COLOMBOPHILES
stops,stop_name,fr,Colonel Bourg,COLONEL BOURG
stops,stop_name,nl,Kolonel Bourg,COLONEL BOURG
stops,stop_name,fr,Combaz,COMBAZ
stops,stop_name,nl,Combaz,COMBAZ
stops,stop_name,fr,Comhaire,COMHAIRE
stops,stop_name,nl,Comhaire,COMHAIRE
stops,stop_name,fr,Comte de Flandre,COMTE DE FLANDRE
stops,stop_name,nl,Graaf van Vlaanderen,COMTE DE FLANDRE
stops,stop_name,fr,Condor,CONDOR
stops,stop_name,nl,Condor,CONDOR
stops,stop_name,fr,Congrès,CONGRES
stops,stop_name,nl,Congres,CONGRES
stops,stop_name,fr,Conscience,CONSCIENCE
stops,stop_name,nl,Conscience,CONSCIENCE
stops,stop_name,fr,Conseil,CONSEIL
stops,stop_name,nl,Raad,CONSEIL
stops,stop_name,fr,Cortenbach,CORTENBACH
stops,stop_name,nl,Kortenbach,CORTENBACH
stops,stop_name,fr,Côteaux,COTEAUX
stops,stop_name,nl,Wijnheuvelen,COTEAUX
stops,stop_name,fr,Craetbos,CRAETBOS
stops,stop_name,nl,Craetbos,CRAETBOS
stops,stop_name,fr,Crainhem,CRAINHEM
stops,stop_name,nl,Kraainem,CRAINHEM
stops,stop_name,fr,Crematorium,CREMATORIUM
stops,stop_name,nl,Crematorium,CREMATORIUM
stops,stop_name,fr,Crocq,CROCQ
stops,stop_name,nl,Crocq,CROCQ
stops,stop_name,fr,Croix de Guerre,CROIX DE GUERRE
stops,stop_name,nl,Oorlogskruisen,CROIX DE GUERRE
stops,stop_name,fr,Crossing,CROSSING
stops,stop_name,nl,Crossing,CROSSING
stops,stop_name,fr,Cureghem,CUREGHEM
stops,stop_name,nl,Kuregem,CUREGHEM
stops,stop_name,fr,Da Vinci,DA VINCI
stops,stop_name,nl,Da Vinci,DA VINCI
stops,stop_name,fr,Dailly,DAILLY
stops,stop_name,nl,Dailly,DAILLY
stops,stop_name,fr,Dansaert,DANSAERT
stops,stop_name,nl,Dansaert,DANSAERT
stops,stop_name,fr,Darwin,DARWIN
stops,stop_name,nl,Darwin,DARWIN
stops,stop_name,fr,Dautzenberg,DAUTZENBERG
stops,stop_name,nl,Dautzenberg,DAUTZENBERG
stops,stop_name,fr,de Berlaimont,DE BERLAIMONT
stops,stop_name,nl,de Berlaimont,DE BERLAIMONT
stops,stop_name,fr,De Brouckère,DE BROUCKERE
stops,stop_name,nl,De Brouckère,DE BROUCKERE
stops,stop_name,fr,de Burbure,DE BURBURE
stops,stop_name,nl,de Burbure,DE BURBURE
stops,stop_name,fr,De Heyn,DE HEYN
stops,stop_name,nl,De Heyn,DE HEYN
stops,stop_name,fr,De Linde,DE LINDE
stops,stop_name,nl,De Linde,DE LINDE
stops,stop_name,fr,de Lombaerde,DE LOMBAERDE
stops,stop_name,nl,de Lombaerde,DE LOMBAERDE
stops,stop_name,fr,de Villalobar,DE VILLALOBAR
stops,stop_name,nl,de Villalobar,DE VILLALOBAR
stops,stop_name,fr,de Villegas,DE VILLEGAS
stops,stop_name,nl,de Villegas,DE VILLEGAS
stops,stop_name,fr,De Wand,DE WAND
stops,stop_name,nl,De Wand,DE WAND
stops,stop_name,fr,De Wansijn,DE WANSIJN
stops,stop_name,nl,De Wansijn,DE WANSIJN
stops,stop_name,fr,Debussy,DEBUSSY
stops,stop_name,nl,Debussy,DEBUSSY
stops,stop_name,fr,Decroly,DECROLY
stops,stop_name,nl,Decroly,DECROLY
stops,stop_name,fr,Defacqz,DEFACQZ
stops,stop_name,nl,Defacqz,DEFACQZ
stops,stop_name,fr,Degrooff,DEGROOFF
stops,stop_name,nl,Degrooff,DEGROOFF
stops,stop_name,fr,Delacroix,DELACROIX
stops,stop_name,nl,Delacroix,DELACROIX
stops,stop_name,fr,Delhove,DELHOVE
stops,stop_name,nl,Delhove,DELHOVE
stops,stop_name,fr,Delleur,DELLEUR
stops,stop_name,nl,Delleur,DELLEUR
stops,stop_name,fr,Delporte,DELPORTE
stops,stop_name,nl,Delporte,DELPORTE
stops,stop_name,fr,Delta,DELTA
stops,stop_name,nl,Delta,DELTA
stops,stop_name,fr,Demey,DEMEY
stops,stop_name,nl,Demey,DEMEY
stops,stop_name,fr,Démineurs,DEMINEURS
stops,stop_name,nl,Ontmijners,DEMINEURS
stops,stop_name,fr,Demolder,DEMOLDER
stops,stop_name,nl,Demolder,DEMOLDER
stops,stop_name,fr,Déportés,DEPORTES
stops,stop_name,nl,Weggevoerden,DEPORTES
stops,stop_name,fr,Destouvelles,DESTOUVELLES
stops,stop_name,nl,Destouvelles,DESTOUVELLES
